20922,20927,21067,,
21031,20615,20760,,
21141,20298,20446,,
21249,19977,20131,,
21358,19648,19810,,
21468,19311,19476,,
21578,18984,19149,,
21685,18655,18822,,
21794,18325,18499,,
21902,17996,18171,,
22014,17659,17835,,
22122,17328,17509,,
22240,16970,17155,,
22357,16613,16802,,
22464,16288,16480,,
22572,15961,16153,,
22687,15609,15807,,
22806,15249,15450,,
22920,14903,15105,,
23041,14536,14742,,
23154,14191,14401,,
23275,13825,14038,,
23386,13485,13703,,
23492,13165,13383,,
23604,12825,13045,,
23725,12455,12682,,
23843,12100,12328,,
23957,11752,11985,,
24077,11389,11622,,
24189,11046,11283,,
24308,10687,10926,,
24423,10335,10582,,
24544,9971,10219,,
24659,9618,9870,,
24777,9258,9513,,
24889,8923,9180,,
25010,8561,8816,,
25114,8254,8507,,
25228,7929,8179,,
25339,7612,7863,,
25459,7281,7528,,
25577,6960,7206,,
25693,6658,6900,,
25810,6355,6594,,
25925,6063,6301,,
26043,5774,6006,,
26156,5503,5732,,
26262,5253,5479,,
26372,5001,5224,,
26480,4758,4981,,
26588,4523,4740,,
26697,4292,4507,,
26806,4069,4278,,
26916,3845,4052,,
27025,3630,3833,,
27134,3424,3624,,
27243,3224,3418,,
27353,3026,3216,,
27463,2834,3022,,
27570,2657,2839,,
27678,2481,2659,,
27786,2310,2485,,
27897,2144,2313,,
28005,1987,2151,,
28113,1837,1995,,
28231,1678,1830,,
28340,1537,1684,,
28448,1406,1547,,
28565,1270,1405,,
28681,1142,1271,,
28799,1016,1141,,
28914,902,1022,,
29032,791,905,,
29149,690,797,,
29267,594,695,,
29378,510,605,,
29485,435,523,,
29598,364,445,,
29717,294,370,,
29834,234,302,,
29952,180,240,,
30067,134,187,,
30178,96,142,,
30285,65,104,,
30395,41,72,,
30505,22,46,,
30615,9,25,,
30722,4,12,,
30832,4,4,,
30947,28676,28675,,
31064,28668,28668,,
31174,28653,28653,,
31283,28633,28633,,
31392,28608,28607,,
