t,761,p1,1456,p2,1293,s1,2050,s2,1050,L1,-432,L2,-1000
t,781,p1,1498,p2,1311,s1,2000,s2,950,L1,-440,L2,-1000
t,801,p1,1538,p2,1331,s1,1950,s2,950,L1,-440,L2,-1000
t,823,p1,1581,p2,1351,s1,2000,s2,950,L1,-440,L2,-1000
t,843,p1,1624,p2,1372,s1,2000,s2,1000,L1,-424,L2,-1000
t,863,p1,1665,p2,1395,s1,2100,s2,1100,L1,-416,L2,-1000
t,883,p1,1708,p2,1418,s1,2050,s2,1150,L1,-404,L2,-1000
t,903,p1,1747,p2,1441,s1,2050,s2,1100,L1,-420,L2,-1000
t,924,p1,1790,p2,1459,s1,2000,s2,1050,L1,-416,L2,-1000
t,944,p1,1831,p2,1482,s1,2050,s2,950,L1,-400,L2,-1000
t,964,p1,1872,p2,1512,s1,2050,s2,1150,L1,-412,L2,-1000
t,985,p1,1914,p2,1555,s1,1900,s2,1600,L1,-420,L2,-1000
t,1005,p1,1955,p2,1609,s1,2050,s2,2150,L1,-404,L2,-1000
t,1026,p1,1998,p2,1680,s1,2050,s2,2800,L1,-400,L2,-1000
t,1046,p1,2036,p2,1764,s1,2000,s2,3700,L1,-412,L2,-1000
t,1066,p1,2079,p2,1864,s1,1950,s2,4300,L1,-408,L2,-1000
t,1087,p1,2121,p2,1970,s1,2050,s2,4800,L1,-400,L2,-1000
t,1108,p1,2163,p2,2083,s1,2000,s2,5050,L1,-400,L2,-892
t,1128,p1,2204,p2,2175,s1,2000,s2,5400,L1,-396,L2,-432
t,1149,p1,2246,p2,2232,s1,2000,s2,4600,L1,-396,L2,-340
t,1170,p1,2289,p2,2275,s1,2000,s2,2800,L1,-400,L2,-364
t,1190,p1,2330,p2,2314,s1,2000,s2,2050,L1,-392,L2,-368
t,1210,p1,2370,p2,2353,s1,2000,s2,1900,L1,-392,L2,-376
t,1230,p1,2411,p2,2391,s1,2050,s2,2000,L1,-404,L2,-412
t,1250,p1,2450,p2,2435,s1,1950,s2,1850,L1,-408,L2,-380
t,1271,p1,2493,p2,2477,s1,2000,s2,2100,L1,-396,L2,-384
t,1292,p1,2536,p2,2519,s1,2000,s2,1950,L1,-392,L2,-396
t,1313,p1,2577,p2,2559,s1,2000,s2,2000,L1,-400,L2,-384
